	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
75	the poor dog 🤔 LINK/MEDIA	the poor dog :/ LINK/MEDIA	Dude wth?? I work at this mall omg thank god I got off at 8 yesterday  brooo people really robbed Sephora?? Wth 🤔🤔 LINK/MEDIA	Dude wth?? I work at this mall omg thank god I got off at 8 yesterday  brooo people really robbed Sephora?? Wth :// LINK/MEDIA	1	QQ_emoji75-emote75_emoji91-emote91--0		emotives
76	No stream tonight :/ sorry	No stream tonight 😟 sorry	ok im rest assured now after seeing the pics:OREMOVEDEMOJI HAHAHAHAH wait let me find my twt tu LINK/MEDIA	ok im rest assured now after seeing the pics😮REMOVEDEMOJI HAHAHAHAH wait let me find my twt tu LINK/MEDIA	1	QQ_emote76-emoji76_emote149-emoji149--0		emotives
77	Feel like waking him up cause I’m bored 🤔	Feel like waking him up cause I’m bored :/	MENTION How are you supposed to start with kisses, when she continually says she hates your kisses...:/	MENTION How are you supposed to start with kisses, when she continually says she hates your kisses...🤔	2	QQ_emoji77-emote77_emote187-emoji187--1		emotives
78	MENTION Doesn’t make the product stand out in any way 🤔	MENTION Doesn’t make the product stand out in any way :/	the poor dog 🤔 LINK/MEDIA	the poor dog :/ LINK/MEDIA	1	QQ_emoji78-emote78_emoji75-emote75--0		emotives
79	some thoughts should be kept to yourself :/ LINK/MEDIA	some thoughts should be kept to yourself 🤔 LINK/MEDIA	MENTION I like millstones as punishment for those who harm children REMOVEDEMOTICON.. Millstone necklace, make em walk into the ocean ;)	MENTION I like millstones as punishment for those who harm children REMOVEDEMOTICON.. Millstone necklace, make em walk into the ocean 😜	1	QQ_emote79-emoji79_emote70-emoji70--0		emotives
80	MENTION I was researching sunscreens and found this one brand called sun milk :/	MENTION I was researching sunscreens and found this one brand called sun milk 🤔	MENTION It really just fell out of her 😮	MENTION It really just fell out of her :o	2	QQ_emote80-emoji80_emoji125-emote125--1		emotives
81	Second interview today but my lazy eye won’t go away 🤔	Second interview today but my lazy eye won’t go away :/	MENTION Texture amazing on this one :o	MENTION Texture amazing on this one 😮	2	QQ_emoji81-emote81_emote38-emoji38--1		emotives
82	MENTION fr :/	MENTION fr 🤔	MENTION Yeah fire is superrrrrr scarce in a lot of regions 🤔 but yeah I feel that! If I don’t go fire I go water. Grass is a sleeper for sure too	MENTION Yeah fire is superrrrrr scarce in a lot of regions :/ but yeah I feel that! If I don’t go fire I go water. Grass is a sleeper for sure too	2	QQ_emote82-emoji82_emoji89-emote89--1		emotives
83	MENTION .. i am always feeling stabby 🤔	MENTION .. i am always feeling stabby :/	MENTION MENTION MENTION MENTION MENTION Open up.  REMOVEDEMOJI :o	MENTION MENTION MENTION MENTION MENTION Open up.  REMOVEDEMOJI 😮	2	QQ_emoji83-emote83_emote146-emoji146--1		emotives
84	MENTION I actually liked his character 🤔	MENTION I actually liked his character :/	women who are into poetry (and literature in general) are so sexy :oREMOVEDEMOJI	women who are into poetry (and literature in general) are so sexy 😮REMOVEDEMOJI	2	QQ_emoji84-emote84_emote135-emoji135--1		emotives
85	that blueface situation is lame as hell tbh. you get no cool points for telling ya gf to whoop ya moms or sister :/	that blueface situation is lame as hell tbh. you get no cool points for telling ya gf to whoop ya moms or sister 🤔	If you can dream it, you can do it! Be Confident! 😘 Teens_Adel	If you can dream it, you can do it! Be Confident! ;) Teens_Adel	2	QQ_emote85-emoji85_emoji64-emote64--1		emotives
86	MENTION Ohh opti probably, didnt see that :/	MENTION Ohh opti probably, didnt see that 🤔	not again :/	not again 🤔	1	QQ_emote86-emoji86_emote94-emoji94--0		emotives
87	I seriously question if anyone actually loves me or if they love the things I can provide :/	I seriously question if anyone actually loves me or if they love the things I can provide 🤔	REMOVEDEMOJI🤔REMOVEDEMOJI #knownews ##blockchain ##cryptocurrency #bitcoin #eth The case for Bitcoin as a hedge against inflation Bitcoin LINK/MEDIA	REMOVEDEMOJI:/REMOVEDEMOJI #knownews ##blockchain ##cryptocurrency #bitcoin #eth The case for Bitcoin as a hedge against inflation Bitcoin LINK/MEDIA	2	QQ_emote87-emoji87_emoji197-emote197--1		emotives
88	just tested positive for covid :/ i was at the st augustine phoebe concert in section 201 and i def got it there so if any of y’all were there and u feel sick plz get tested	just tested positive for covid 🤔 i was at the st augustine phoebe concert in section 201 and i def got it there so if any of y’all were there and u feel sick plz get tested	some thoughts should be kept to yourself :/ LINK/MEDIA	some thoughts should be kept to yourself 🤔 LINK/MEDIA	1	QQ_emote88-emoji88_emote79-emoji79--0		emotives
89	MENTION Yeah fire is superrrrrr scarce in a lot of regions :/ but yeah I feel that! If I don’t go fire I go water. Grass is a sleeper for sure too	MENTION Yeah fire is superrrrrr scarce in a lot of regions 🤔 but yeah I feel that! If I don’t go fire I go water. Grass is a sleeper for sure too	MENTION I was researching sunscreens and found this one brand called sun milk 🤔	MENTION I was researching sunscreens and found this one brand called sun milk :/	2	QQ_emote89-emoji89_emoji80-emote80--1		emotives
90	MENTION will you be getting the doctor strange in the multiverse if madness scarlet witch hot toy in ? I can’t find anywhere in the UK to pre order it 🤔	MENTION will you be getting the doctor strange in the multiverse if madness scarlet witch hot toy in ? I can’t find anywhere in the UK to pre order it :/	women who are into poetry (and literature in general) are so sexy 😮REMOVEDEMOJI	women who are into poetry (and literature in general) are so sexy :oREMOVEDEMOJI	1	QQ_emoji90-emote90_emoji135-emote135--0		emotives
91	Dude wth?? I work at this mall omg thank god I got off at 8 yesterday  brooo people really robbed Sephora?? Wth :// LINK/MEDIA	Dude wth?? I work at this mall omg thank god I got off at 8 yesterday  brooo people really robbed Sephora?? Wth 🤔🤔 LINK/MEDIA	not again :/	not again 🤔	1	QQ_emote91-emoji91_emote94-emoji94--0		emotives
92	how is it so hard to support the tannies from home 🤔	how is it so hard to support the tannies from home :/	Once I catch you in one lie, it makes me question everything you said. Screw you Amber!! REMOVEDEMOJI😮😮\n#IStandWithJohnnyDepp\n#JusticeForJohnnyDepp\n#AmberHeardlsApsychopath\n#AmberHeardIsALiar LINK/MEDIA	Once I catch you in one lie, it makes me question everything you said. Screw you Amber!! REMOVEDEMOJI:OO\n#IStandWithJohnnyDepp\n#JusticeForJohnnyDepp\n#AmberHeardlsApsychopath\n#AmberHeardIsALiar LINK/MEDIA	1	QQ_emoji92-emote92_emoji137-emote137--0		emotives
93	I’m on burgers bad rn :/ this not even like me	I’m on burgers bad rn 🤔 this not even like me	MENTION That's why I have more than one computer. 😀	MENTION That's why I have more than one computer. :-)	2	QQ_emote93-emoji93_emoji21-emote21--1		emotives
94	not again :/	not again 🤔	MENTION True. Learning is constant. Everyone is a teacher. By this message, I learnt to be safe online :)	MENTION True. Learning is constant. Everyone is a teacher. By this message, I learnt to be safe online 😁	1	QQ_emote94-emoji94_emote116-emoji116--0		emotives
95	MENTION Oof. I'm sorry bud. :/	MENTION Oof. I'm sorry bud. 🤔	Slavs don’t do articles. Sorry Bulgarians, you are fake Slavs 😉 LINK/MEDIA	Slavs don’t do articles. Sorry Bulgarians, you are fake Slavs ;) LINK/MEDIA	2	QQ_emote95-emoji95_emoji51-emote51--1		emotives
96	im so mad that i lived with short hair all my life :\\ god it's so much easier to deal with when it's long REMOVEDEMOTICON fuck gender norms!	im so mad that i lived with short hair all my life 🤔🤔 god it's so much easier to deal with when it's long REMOVEDEMOTICON fuck gender norms!	MENTION why do you think so :o	MENTION why do you think so 😯	1	QQ_emote96-emoji96_emote45-emoji45--0		emotives
97	MENTION MENTION That's very cool that you still have the piano! My parents have the one our family's had and I'm set to inherit it but I ... can't play at all. 🤔 \n\nWere you better at sight reading before? Like is it just a matter of practicing up?	MENTION MENTION That's very cool that you still have the piano! My parents have the one our family's had and I'm set to inherit it but I ... can't play at all. :/ \n\nWere you better at sight reading before? Like is it just a matter of practicing up?	....MENTION  It seems like any traffic generated by personal promotion on social media no longer counts as a view under the new system....is this correct?! REMOVEDEMOJI:/REMOVEDEMOJI	....MENTION  It seems like any traffic generated by personal promotion on social media no longer counts as a view under the new system....is this correct?! REMOVEDEMOJI😟REMOVEDEMOJI	2	QQ_emoji97-emote97_emote185-emoji185--1		emotives
98	MENTION Growing your platform on twitch means playing by the rules of twitch and now I can’t do that :/	MENTION Growing your platform on twitch means playing by the rules of twitch and now I can’t do that 🤔	MENTION Ooh my sweetheart my pro actor HR I love youREMOVEDEMOJI😘REMOVEDEMOJI😘	MENTION Ooh my sweetheart my pro actor HR I love youREMOVEDEMOJI;)REMOVEDEMOJI;)	2	QQ_emote98-emoji98_emoji153-emote153--1		emotives
99	Not Alcaraz’ time ://	Not Alcaraz’ time 😟😟	took these pics of the sky at work on sunday :) LINK/MEDIA	took these pics of the sky at work on sunday 😁 LINK/MEDIA	1	QQ_emote99-emoji99_emote7-emoji7--0		emotives
100	My status: posts tirries \nHer: mine are bigger \nMe: show me😊\nHer:( blue ticks my message) LINK/MEDIA	My status: posts tirries \nHer: mine are bigger \nMe: show me:)\nHer:( blue ticks my message) LINK/MEDIA	Had my lunch in my office.;)) How about you???!!REMOVEDEMOJI	Had my lunch in my office.😜😜 How about you???!!REMOVEDEMOJI	2	QQ_emoji100-emote100_emote155-emoji155--1		emotives
101	MENTION MENTION Good morning to you too. Amazing collection. Beautiful colors and lovely details. REMOVEDEMOJI😊	MENTION MENTION Good morning to you too. Amazing collection. Beautiful colors and lovely details. REMOVEDEMOJI:]	Slavs don’t do articles. Sorry Bulgarians, you are fake Slavs 😉 LINK/MEDIA	Slavs don’t do articles. Sorry Bulgarians, you are fake Slavs ;) LINK/MEDIA	1	QQ_emoji101-emote101_emoji51-emote51--0		emotives
102	MENTION Enhe.. I just remembered the price from last weekend. Kikofiira watwagala awo! :)REMOVEDEMOJI	MENTION Enhe.. I just remembered the price from last weekend. Kikofiira watwagala awo! 😁REMOVEDEMOJI	MENTION St Montan ?:/	MENTION St Montan ?🤔	1	QQ_emote102-emoji102_emote178-emoji178--0		emotives
103	We get it. You got every supplement for all your health needs. But we need the picture.\nPost a photo of your supplements haul and tag us! Picturan na 'yan. :) LINK/MEDIA	We get it. You got every supplement for all your health needs. But we need the picture.\nPost a photo of your supplements haul and tag us! Picturan na 'yan. 😀 LINK/MEDIA	Feel like waking him up cause I’m bored :/	Feel like waking him up cause I’m bored 🤔	1	QQ_emote103-emoji103_emote77-emoji77--0		emotives
104	"MENTION Nice work done REMOVEDEMOJI MENTION. \nWell, it's just clean and really attractive, it's kinda calling like "" Hey have a look at mi content"" :)"	"MENTION Nice work done REMOVEDEMOJI MENTION. \nWell, it's just clean and really attractive, it's kinda calling like "" Hey have a look at mi content"" 😀"	MENTION Happy hunky sexy Teddy day!!😘😘REMOVEDEMOJI	MENTION Happy hunky sexy Teddy day!!;))REMOVEDEMOJI	2	QQ_emote104-emoji104_emoji171-emote171--1		emotives
105	gerard: REMOVEDEMOJI:)) *squints to see crowd better* REMOVEDEMOJI;)REMOVEDEMOJI LOOK LIKE SOMEBODY I USED TO WORK AT SUBWAY WITH LINK/MEDIA	gerard: REMOVEDEMOJI🙂🙂 *squints to see crowd better* REMOVEDEMOJI😜REMOVEDEMOJI LOOK LIKE SOMEBODY I USED TO WORK AT SUBWAY WITH LINK/MEDIA	how is it so hard to support the tannies from home :/	how is it so hard to support the tannies from home 🤔	1	QQ_emote105-emoji105_emote92-emoji92--0		emotives
106	Song Lyrics & Own Story Plays Big Part In My Answer Sheets 😀😀REMOVEDEMOJI#TamilMemes #GDvignesh LINK/MEDIA	Song Lyrics & Own Story Plays Big Part In My Answer Sheets :))REMOVEDEMOJI#TamilMemes #GDvignesh LINK/MEDIA	MENTION :o I'm an og then :O	MENTION 😮 I'm an og then 😯	2	QQ_emoji106-emote106_emote44-emoji44--1		emotives
107	Going to the beach today. I'm already dressed in my swimming costume underneath my clothes.\nI'm so excited. I feel like a kid REMOVEDEMOJI😁REMOVEDEMOJI	Going to the beach today. I'm already dressed in my swimming costume underneath my clothes.\nI'm so excited. I feel like a kid REMOVEDEMOJI:)REMOVEDEMOJI	MENTION Morning Squeak 😁	MENTION Morning Squeak :)	1	QQ_emoji107-emote107_emoji24-emote24--0		emotives
108	Everyone 😀😀😀😀 LINK/MEDIA	Everyone :)))) LINK/MEDIA	What😯 LINK/MEDIA	What:o LINK/MEDIA	1	QQ_emoji108-emote108_emoji141-emote141--0		emotives
109	Good morning. Enjoy the bacon :) I’m having left over dhosa this morning. Not usually the time I eat or what I eat REMOVEDEMOJI	Good morning. Enjoy the bacon ☺️ I’m having left over dhosa this morning. Not usually the time I eat or what I eat REMOVEDEMOJI	MENTION If you want to buy nft at an affordable price, I am waiting for you on my page, the link is below :)\nLINK/MEDIA	MENTION If you want to buy nft at an affordable price, I am waiting for you on my page, the link is below 😀\nLINK/MEDIA	1	QQ_emote109-emoji109_emote19-emoji19--0		emotives
110	MENTION Love it! 😀	MENTION Love it! :-)	MENTION My son has booked to see him in Bristol. He's expecting beats, not beating's off. REMOVEDEMOJI😮	MENTION My son has booked to see him in Bristol. He's expecting beats, not beating's off. REMOVEDEMOJI:o	1	QQ_emoji110-emote110_emoji128-emote128--0		emotives
111	MENTION hello Marian. Have just discovered you and have bought three books. Watermelon. This Charming Man and The Mystery of Mercy Close. I watched you on Imagine and was fascinated as I have had a similar life. Is there a certain order to read your books?  All the best 😀.	MENTION hello Marian. Have just discovered you and have bought three books. Watermelon. This Charming Man and The Mystery of Mercy Close. I watched you on Imagine and was fascinated as I have had a similar life. Is there a certain order to read your books?  All the best :).	MENTION I tried a new bowl at chipotle :)	MENTION I tried a new bowl at chipotle 🙂	2	QQ_emoji111-emote111_emote16-emoji16--1		emotives
112	MENTION I loved this! Doing my Masters degree switched my brain to permanent skim reading mode REMOVEDEMOJI and now it’s really difficult to read for enjoyment- this would help me so much 😊 I sometimes use the coloured ruler in Kindle which helps a little, but this is better!	MENTION I loved this! Doing my Masters degree switched my brain to permanent skim reading mode REMOVEDEMOJI and now it’s really difficult to read for enjoyment- this would help me so much :) I sometimes use the coloured ruler in Kindle which helps a little, but this is better!	"MENTION miss me with that it's not realistic bullshit because he doesn't have to come out to make it clear to the audience. it's not beautiful, it's the same lazy cop-out we see repeatedly. they like to dangle a weird-ass carrot like ""oop he could be gay but we never said he was ;)"""	"MENTION miss me with that it's not realistic bullshit because he doesn't have to come out to make it clear to the audience. it's not beautiful, it's the same lazy cop-out we see repeatedly. they like to dangle a weird-ass carrot like ""oop he could be gay but we never said he was 😘"""	2	QQ_emoji112-emote112_emote65-emoji65--1		emotives
113	MENTION The good news is that it's next weekend :)REMOVEDEMOJI	MENTION The good news is that it's next weekend 😁REMOVEDEMOJI	MENTION Ooh my sweetheart my pro actor HR I love youREMOVEDEMOJI;)REMOVEDEMOJI;)	MENTION Ooh my sweetheart my pro actor HR I love youREMOVEDEMOJI😘REMOVEDEMOJI😘	1	QQ_emote113-emoji113_emote153-emoji153--0		emotives
114	MENTION MENTION Awesome! It’s so relaxing:) \nI’m glad your diabetes is under control! Dr. Is wise. It’s so very important to take care of feet, esp with diabetes. Oh yes, they do a much better job, the pedi experts!!  Cotton Candy PinkREMOVEDEMOJI REMOVEDEMOJI it! REMOVEDEMOJI	MENTION MENTION Awesome! It’s so relaxing☺️ \nI’m glad your diabetes is under control! Dr. Is wise. It’s so very important to take care of feet, esp with diabetes. Oh yes, they do a much better job, the pedi experts!!  Cotton Candy PinkREMOVEDEMOJI REMOVEDEMOJI it! REMOVEDEMOJI	MENTION u can try it now :) MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION	MENTION u can try it now 😀 MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION	1	QQ_emote114-emoji114_emote2-emoji2--0		emotives
115	I don't mind watching cookery shows as i may not try the new recipes but learning smart n healthy ways of cooking, multi tasking in kitchen and watching cool kitchen gadgets is a big YES for me.😊\n     #justsayin	I don't mind watching cookery shows as i may not try the new recipes but learning smart n healthy ways of cooking, multi tasking in kitchen and watching cool kitchen gadgets is a big YES for me.:)\n     #justsayin	Hello REMOVEDEMOJI how ar you ?REMOVEDEMOJI.\nAre you looking for a good relaxing  massage?😘\nAnal siix.\nMassageVIP \nOutcall available....\n\nLINK/MEDIA \n\n#massage_in_riyadh\n#massage_vip_riyadh\n\n#REMOVEDEMOJI LINK/MEDIA	Hello REMOVEDEMOJI how ar you ?REMOVEDEMOJI.\nAre you looking for a good relaxing  massage?;)\nAnal siix.\nMassageVIP \nOutcall available....\n\nLINK/MEDIA \n\n#massage_in_riyadh\n#massage_vip_riyadh\n\n#REMOVEDEMOJI LINK/MEDIA	1	QQ_emoji115-emote115_emoji164-emote164--0		emotives
116	MENTION True. Learning is constant. Everyone is a teacher. By this message, I learnt to be safe online :)	MENTION True. Learning is constant. Everyone is a teacher. By this message, I learnt to be safe online 😁	Song Lyrics & Own Story Plays Big Part In My Answer Sheets 😀😀REMOVEDEMOJI#TamilMemes #GDvignesh LINK/MEDIA	Song Lyrics & Own Story Plays Big Part In My Answer Sheets :))REMOVEDEMOJI#TamilMemes #GDvignesh LINK/MEDIA	2	QQ_emote116-emoji116_emoji106-emote106--1		emotives
117	MENTION As Hurree Jamset Ram Singh would say:..\nThe greatfulness is terrific!:)	MENTION As Hurree Jamset Ram Singh would say:..\nThe greatfulness is terrific!😀	MENTION My son has booked to see him in Bristol. He's expecting beats, not beating's off. REMOVEDEMOJI😮	MENTION My son has booked to see him in Bristol. He's expecting beats, not beating's off. REMOVEDEMOJI:o	2	QQ_emote117-emoji117_emoji128-emote128--1		emotives
118	MENTION Morning. Have a good day :) x	MENTION Morning. Have a good day 😊 x	MENTION LMFAOOLOOOOOOOOOO what do u call fishes poop😯	MENTION LMFAOOLOOOOOOOOOO what do u call fishes poop:o	2	QQ_emote118-emoji118_emoji26-emote26--1		emotives
119	MENTION It's clear :)	MENTION It's clear 😀	MENTION If you liked this, please consider following me ;) REMOVEDEMOJI.\n \nAD: Create AI Art and AI NFTs with LINK/MEDIA. Try free: LINK/MEDIA LINK/MEDIA	MENTION If you liked this, please consider following me 😉 REMOVEDEMOJI.\n \nAD: Create AI Art and AI NFTs with LINK/MEDIA. Try free: LINK/MEDIA LINK/MEDIA	1	QQ_emote119-emoji119_emote157-emoji157--0		emotives
120	OBO le wan lere  🙂 LINK/MEDIA	OBO le wan lere  :) LINK/MEDIA	MENTION All in good time 😉	MENTION All in good time ;)	1	QQ_emoji120-emote120_emoji54-emote54--0		emotives
121	MENTION Nope hamnawa:)REMOVEDEMOJI	MENTION Nope hamnawa🙂REMOVEDEMOJI	Dude wth?? I work at this mall omg thank god I got off at 8 yesterday  brooo people really robbed Sephora?? Wth 🤔🤔 LINK/MEDIA	Dude wth?? I work at this mall omg thank god I got off at 8 yesterday  brooo people really robbed Sephora?? Wth :// LINK/MEDIA	2	QQ_emote121-emoji121_emoji91-emote91--1		emotives
122	MENTION Thats a very cute screensaver :)	MENTION Thats a very cute screensaver ☺️	MENTION MENTION But now, he is this ;)\nDo not question how I found this photo- LINK/MEDIA	MENTION MENTION But now, he is this 😘\nDo not question how I found this photo- LINK/MEDIA	1	QQ_emote122-emoji122_emote53-emoji53--0		emotives
123	MENTION A smile :)	MENTION A smile 😁	MENTION If you liked this, please consider following me 😉 REMOVEDEMOJI.\n \nAD: Create AI Art and AI NFTs with LINK/MEDIA. Try free: LINK/MEDIA LINK/MEDIA	MENTION If you liked this, please consider following me ;) REMOVEDEMOJI.\n \nAD: Create AI Art and AI NFTs with LINK/MEDIA. Try free: LINK/MEDIA LINK/MEDIA	2	QQ_emote123-emoji123_emoji157-emote157--1		emotives
124	MENTION Please try to keep them sweet! 😊	MENTION Please try to keep them sweet! :)	just tested positive for covid :/ i was at the st augustine phoebe concert in section 201 and i def got it there so if any of y’all were there and u feel sick plz get tested	just tested positive for covid 🤔 i was at the st augustine phoebe concert in section 201 and i def got it there so if any of y’all were there and u feel sick plz get tested	2	QQ_emoji124-emote124_emote88-emoji88--1		emotives
125	MENTION It really just fell out of her :o	MENTION It really just fell out of her 😮	MENTION REMOVEDEMOJI Thank you dear Morgan 😘😘😘	MENTION REMOVEDEMOJI Thank you dear Morgan ;)))	2	QQ_emote125-emoji125_emoji156-emote156--1		emotives
126	good night :oREMOVEDEMOJI	good night 😮REMOVEDEMOJI	MENTION glad u like it tho ;]	MENTION glad u like it tho 😘	1	QQ_emote126-emoji126_emote67-emoji67--0		emotives
127	"Why does d brain read ""Wtf"" in full and ""Lol"" in abbreviationREMOVEDEMOJI😮"	"Why does d brain read ""Wtf"" in full and ""Lol"" in abbreviationREMOVEDEMOJI:O"	MENTION MENTION MENTION MENTION Taking money? Who’s funding “you” Soros? And, what “policies” are widely agreed on….the ineffective, moronic anti-American policies that you/Libs are trying to FORCE upon the American People…the ones that are FAILING IN DEMOCRATIC CITIES?-:/REMOVEDEMOJI:/	MENTION MENTION MENTION MENTION Taking money? Who’s funding “you” Soros? And, what “policies” are widely agreed on….the ineffective, moronic anti-American policies that you/Libs are trying to FORCE upon the American People…the ones that are FAILING IN DEMOCRATIC CITIES?-🤔REMOVEDEMOJI🤔	2	QQ_emoji127-emote127_emote194-emoji194--1		emotives
128	MENTION My son has booked to see him in Bristol. He's expecting beats, not beating's off. REMOVEDEMOJI😮	MENTION My son has booked to see him in Bristol. He's expecting beats, not beating's off. REMOVEDEMOJI:o	MENTION terrible idea as per usual REMOVEDEMOJI whats every1 gonna do 2 months down the line when that 400 is spend on gas and electric :/ useless twats REMOVEDEMOJI	MENTION terrible idea as per usual REMOVEDEMOJI whats every1 gonna do 2 months down the line when that 400 is spend on gas and electric 🤔 useless twats REMOVEDEMOJI	2	QQ_emoji128-emote128_emote181-emoji181--1		emotives
129	MENTION MENTION MENTION MENTION MENTION MENTION \nMENTION\nDone sir, i participateREMOVEDEMOJI:o	MENTION MENTION MENTION MENTION MENTION MENTION \nMENTION\nDone sir, i participateREMOVEDEMOJI😮	MENTION :O! Thank you!!	MENTION 😮! Thank you!!	1	QQ_emote129-emoji129_emote49-emoji49--0		emotives
130	MENTION there is? i didn’t know about that 😮	MENTION there is? i didn’t know about that :o	MENTION How are you supposed to start with kisses, when she continually says she hates your kisses...🤔	MENTION How are you supposed to start with kisses, when she continually says she hates your kisses...:/	1	QQ_emoji130-emote130_emoji187-emote187--0		emotives
131	hoshi expression is lethal 😮REMOVEDEMOJI	hoshi expression is lethal :oREMOVEDEMOJI	Why are you so cute? — plsss you're cuter !! REMOVEDEMOTICON\nWho are you anyway ?! :O LINK/MEDIA	Why are you so cute? — plsss you're cuter !! REMOVEDEMOTICON\nWho are you anyway ?! 😮 LINK/MEDIA	2	QQ_emoji131-emote131_emote40-emoji40--1		emotives
132	MENTION I'll be looking for You :OREMOVEDEMOJI	MENTION I'll be looking for You 😯REMOVEDEMOJI	MENTION MENTION MENTION MENTION MENTION Open up.  REMOVEDEMOJI 😮	MENTION MENTION MENTION MENTION MENTION Open up.  REMOVEDEMOJI :o	2	QQ_emote132-emoji132_emoji146-emote146--1		emotives
133	MENTION MENTION At this point I'm surprised you're not just an official dev:OREMOVEDEMOJI	MENTION MENTION At this point I'm surprised you're not just an official dev😮REMOVEDEMOJI	MENTION 😮 how cool is that!!	MENTION :O how cool is that!!	2	QQ_emote133-emoji133_emoji33-emote33--1		emotives
134	yeah bc they cant be queer without being in a relationship 😲 get help LINK/MEDIA	yeah bc they cant be queer without being in a relationship :o get help LINK/MEDIA	MENTION Eh l don't  think l like the smell dirt part Wei.:/	MENTION Eh l don't  think l like the smell dirt part Wei.🤔	2	QQ_emoji134-emote134_emote186-emoji186--1		emotives
135	women who are into poetry (and literature in general) are so sexy :oREMOVEDEMOJI	women who are into poetry (and literature in general) are so sexy 😮REMOVEDEMOJI	MENTION Next step: banning masturbation. Spermatozoids are alive as well. And how about ovulation? Eggs, you know... or it was the hen first?🤔	MENTION Next step: banning masturbation. Spermatozoids are alive as well. And how about ovulation? Eggs, you know... or it was the hen first?:/	2	QQ_emote135-emoji135_emoji179-emote179--1		emotives
136	MENTION Is that a success perm?? :O	MENTION Is that a success perm?? 😯	Visit our friends at MENTION to maintain that great smile of yours. 😊 \n#nationalsmileday LINK/MEDIA	Visit our friends at MENTION to maintain that great smile of yours. :) \n#nationalsmileday LINK/MEDIA	2	QQ_emote136-emoji136_emoji23-emote23--1		emotives
137	Once I catch you in one lie, it makes me question everything you said. Screw you Amber!! REMOVEDEMOJI😮😮\n#IStandWithJohnnyDepp\n#JusticeForJohnnyDepp\n#AmberHeardlsApsychopath\n#AmberHeardIsALiar LINK/MEDIA	Once I catch you in one lie, it makes me question everything you said. Screw you Amber!! REMOVEDEMOJI:OO\n#IStandWithJohnnyDepp\n#JusticeForJohnnyDepp\n#AmberHeardlsApsychopath\n#AmberHeardIsALiar LINK/MEDIA	MENTION REMOVEDEMOJI Thank you dear Morgan 😘😘😘	MENTION REMOVEDEMOJI Thank you dear Morgan ;)))	1	QQ_emoji137-emote137_emoji156-emote156--0		emotives
138	MENTION Ha 😮, u sha choose to drag me dis morning bah \n\nBlock me back please,na single I single a no kee persin o	MENTION Ha :o, u sha choose to drag me dis morning bah \n\nBlock me back please,na single I single a no kee persin o	MENTION No, it's just racing game. 😟	MENTION No, it's just racing game. :/	1	QQ_emoji138-emote138_emoji190-emote190--0		emotives
139	MENTION Was the 'guy' your FIL, by any chance?;):O	MENTION Was the 'guy' your FIL, by any chance?😜😲	10. Of course ;)	10. Of course 😉	1	QQ_emote139-emoji139_emote154-emoji154--0		emotives
140	MENTION MENTION Really 😲?	MENTION MENTION Really :O?	MENTION Morning. Have a good day :) x	MENTION Morning. Have a good day 😊 x	2	QQ_emoji140-emote140_emote118-emoji118--1		emotives
141	What😯 LINK/MEDIA	What:o LINK/MEDIA	MENTION Thanks! I actually want to trade it for a smollskull, so I put a price a can buy a smol after sell immediately :)	MENTION Thanks! I actually want to trade it for a smollskull, so I put a price a can buy a smol after sell immediately 😊	2	QQ_emoji141-emote141_emote17-emoji17--1		emotives
142	Hoshi is like a bomb REMOVEDEMOJI he never disappoints on live stages :oREMOVEDEMOJI	Hoshi is like a bomb REMOVEDEMOJI he never disappoints on live stages 😮REMOVEDEMOJI	MENTION True. Learning is constant. Everyone is a teacher. By this message, I learnt to be safe online :)	MENTION True. Learning is constant. Everyone is a teacher. By this message, I learnt to be safe online 😁	1	QQ_emote142-emoji142_emote116-emoji116--0		emotives
143	I’ve seen so many schools advertising multiple times for posts this year, every time I go onto tes it’s the same schools. I apply each time and either hear nothing back or get told I am inexperienced😮	I’ve seen so many schools advertising multiple times for posts this year, every time I go onto tes it’s the same schools. I apply each time and either hear nothing back or get told I am inexperienced:O	MENTION If you want to buy nft at an affordable price, I am waiting for you on my page, the link is below :)\nLINK/MEDIA	MENTION If you want to buy nft at an affordable price, I am waiting for you on my page, the link is below 😀\nLINK/MEDIA	2	QQ_emoji143-emote143_emote19-emoji19--1		emotives
144	Warriors I might go to another game just to see Stephen Curry and the Warriors play in Boston man it’s Celtics Vs the Warriors man!!! :oREMOVEDEMOJI	Warriors I might go to another game just to see Stephen Curry and the Warriors play in Boston man it’s Celtics Vs the Warriors man!!! 😮REMOVEDEMOJI	grabe naging end of may and start of june ko dahil sayo fpd :)	grabe naging end of may and start of june ko dahil sayo fpd 😁	1	QQ_emote144-emoji144_emote9-emoji9--0		emotives
145	MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION Super elite jogging weight :O	MENTION MENTION MENTION MENTION MENTION MENTION MENTION MENTION Super elite jogging weight 😮	MENTION glad u like it tho 😘	MENTION glad u like it tho ;]	2	QQ_emote145-emoji145_emoji67-emote67--1		emotives
